Year,High SDI (Mean),High-middle SDI (Mean),Middle SDI (Mean),Low-middle SDI (Mean),Low SDI (Mean),High SDI (LL),High-middle SDI (LL),Middle SDI (LL),Low-middle SDI (LL),Low SDI (LL),High SDI (UL),High-middle SDI (UL),Middle SDI (UL),Low-middle SDI (UL),Low SDI (UL)
1990,1.642677519,1.038815656,0.57336239,0.366324503,0.339915888,1.05841386,0.517427497,0.25327489,0.15335966,0.139915365,2.459234118,1.907821221,1.121335481,0.769867612,0.718787047
2000,1.841473038,0.734745923,0.612231491,0.382179614,0.353269339,1.356679507,0.415097978,0.315238606,0.174427689,0.14900419,2.458954659,1.205252228,1.122128897,0.734819681,0.701890661
2010,1.603572368,0.672082116,0.686632956,0.430077715,0.561242398,1.262194713,0.392804206,0.361784065,0.209700237,0.287621121,2.019148809,1.092194635,1.203975712,0.794236683,1.029976658
2019,1.327373759,0.737076344,0.655916597,0.538166302,0.474116606,1.053069743,0.435351139,0.32636162,0.256493477,0.214787164,1.667954075,1.169060167,1.193563675,1.020498555,0.885160351
2023,2.070333399,0.730249526,0.66723513,0.594741222,0.486477555,1.578462213,0.408248956,0.310188387,0.253328579,0.216105655,2.67870609,1.206090426,1.263329698,1.191612989,0.978542909
