Age,Point,Mean,Median,LL,UL
5-9 years,0.31332969,0.319164316,0.317772693,0.282557214,0.365468904
10-14 years,0.26866502,0.273940915,0.272777831,0.24461744,0.310954124
15-19 years,0.225367649,0.229932575,0.228877411,0.202360218,0.264198344
20-24 years,0.253178801,0.256574171,0.255670958,0.227863382,0.290126983
