Location,Point,Mean,Median,LL,UL
Global,0.091800045,0.108483726,0.107690927,0.082140656,0.140710931
High SDI,0.127095531,0.12923531,0.128984587,0.116205825,0.143375231
High-middle SDI,0.082319897,0.092421587,0.091370382,0.070696569,0.118922055
Middle SDI,0.072742512,0.090458263,0.088858751,0.064519029,0.124843948
Low-middle SDI,0.131044827,0.152865306,0.15233356,0.114619131,0.195164381
Low SDI,0.079878236,0.103152008,0.101856809,0.072666392,0.141057535
