Year,Point,Mean,Median,LL,UL
1990,0.278848018,0.285038527,0.284623773,0.242336669,0.329421774
2000,0.267369458,0.272680441,0.272381445,0.234063389,0.313496045
2010,0.265067173,0.269560443,0.269042412,0.237440798,0.305164825
2019,0.207928726,0.212300399,0.211718956,0.183127426,0.244524755
2023,0.225367649,0.229637799,0.228636945,0.202888705,0.263979141
